sid,session_code,mk_session,prolific_id,participant_code,round_nb,player,dyad,manipulation,condition,difficulty,confidence_1,confidence_2,indv_response,correct_response,indv_responded_correctly,rt_individual,indv_stim_order,group_choice,grp_responded_correctly,decision_count,group_rt,both_agree,mean_social_dominance,mean_aggresive_dominance,grp_correct
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,27,2,p2p3,dominant,Non-conflict,Easy,72.0,82.0,Left,Left,True,2064.5,27:20,Left,,1,2622.4,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,28,2,p1p2,dominant,Non-conflict,Easy,78.0,82,Right,Right,True,1421.5,30:40,Right,,1,1432.8,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,29,2,p2p3,submissive,Non-conflict,Hard,80.0,90,Right,Right,True,1049.6,30:34,Right,,1,1586.5,1,3.875,3.142857142857143,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,5e9a162fc140d109fe1a4618,dt5ri8po,30,2,p2p4,submissive,Conflict,Easy,79.0,60,Right,Right,True,1576.1,20:27,Left,,1,2323.3,1,3.875,3.142857142857143,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,1,3,p1p3,dominant,Non-conflict,Easy,,55,Right,Right,True,1639.8,20:27,Right,,1,5187.4,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,2,3,p3p6,dominant,Non-conflict,Easy,87.0,54.0,Right,Right,True,598.0,30:40,Right,,7,1114.4,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,3,3,p3p6,submissive,Non-conflict,Easy,87.0,55,Right,Right,True,2881.9,20:27,Left,,1,834.3,1,4.625,3.2857142857142856,False
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,4,3,p3p5,dominant,Non-conflict,Easy,100.0,98,Right,Right,True,3404.4,30:40,Right,,11,4672.9,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,5,3,p3p4,dominant,Conflict,Easy,97.0,42.0,Right,Right,True,1989.4,20:27,Left,,5,1143.7,1,4.625,3.2857142857142856,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,6,3,p1p3,submissive,Non-conflict,Hard,80.0,72,Right,Right,True,2142.8,20:23,Right,,5,1084.7,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,7,3,p1p3,dominant,Non-conflict,Hard,94.0,49,Left,Left,True,2794.5,34:30,Left,,4,3835.1,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,8,3,p3p5,submissive,Non-conflict,Easy,79.0,99,Left,Left,True,2299.7,27:20,Left,,3,1723.4,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,9,3,p1p3,submissive,Non-conflict,Easy,76.0,89,Right,Right,True,1128.7,30:40,Right,,1,2872.8,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,10,3,p3p5,submissive,Non-conflict,Hard,53.0,95,Left,Left,True,1833.2,23:20,Left,,8,3484.7,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,11,3,p3p4,dominant,Non-conflict,Hard,97.0,93,Right,Right,True,964.2,20:23,Right,,2,839.2,1,4.625,3.2857142857142856,True
